system:index,Daytime,.geo
154,0.37764999461602855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.08156410762483]}"
155,1.3492778367439016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88885299581591,19.08156410762483]}"
156,-3.209114269648218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92927718360127,19.08156410762483]}"
157,-2.8640470972126266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.07886916177246]}"
158,0.25663648110252524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87537826655412,19.07886916177246]}"
159,0.25663648110252524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87807321240646,19.07886916177246]}"
160,0.37025080971687174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.07886916177246]}"
161,-0.2672617953251475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.07886916177246]}"
162,-0.7741273415436254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91041256263478,19.07886916177246]}"
163,-2.652120805595935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93197212945364,19.07886916177246]}"
164,-3.849054209588168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82686924121165,19.076174215920105]}"
165,0.6489650954311443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88885299581591,19.076174215920105]}"
166,0.37025080971687174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.076174215920105]}"
167,-0.2672617953251475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.076174215920105]}"
168,-0.2672617953251475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90502267093007,19.076174215920105]}"
169,-1.53480054415801,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92119234604422,19.076174215920105]}"
170,-3.849054209588168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83495407876873,19.07347927006775]}"
171,-1.6045236263733855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.07347927006775]}"
172,-0.9463657316365257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.07347927006775]}"
173,0.25663648110252524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87537826655412,19.07347927006775]}"
174,0.25663648110252524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87807321240646,19.07347927006775]}"
175,0.6489650954311443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8834631041112,19.07347927006775]}"
176,0.6489650954311443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88615804996354,19.07347927006775]}"
177,-1.53480054415801,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91849740019185,19.07347927006775]}"
178,-3.513544094209614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83225913291639,19.07078432421538]}"
179,-2.1029592988879884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.07078432421538]}"
180,0.09833811130416592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.07078432421538]}"
181,0.17429282652357614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8834631041112,19.07078432421538]}"
182,-0.5607556837896439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.07078432421538]}"
183,-1.5272263290760648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85112375388289,19.068089378363027]}"
184,-0.9397136848528831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.068089378363027]}"
185,-0.9397136848528831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.068089378363027]}"
186,0.09833811130416592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.068089378363027]}"
187,-0.411418191216832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9077176167824,19.068089378363027]}"
188,-0.7255020860360233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92119234604422,19.068089378363027]}"
189,-1.480447602981549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92658223774893,19.068089378363027]}"
190,-3.513544094209614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83225913291639,19.065394432510672]}"
191,-2.1029592988879884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8376490246211,19.065394432510672]}"
192,-1.5272263290760648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.065394432510672]}"
193,0.47425080971685674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87807321240646,19.065394432510672]}"
194,-0.3117145582485037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89154794166828,19.065394432510672]}"
